Instrument,DSPLY_NMLL,COUNTRY
CHRCOV=ECI,NCOV19 Recovered RTR,CHE
CIACOV=ECI,NCOV19 Act Cases RTR,CIV
CICCOV=ECI,NCOV19 Tot Cases RTR,CIV
CICOVD=ECI,COVID19 Tot Cases WHO,CIV
CIDCOV=ECI,NCOV19 Deaths RTR,CIV
CINCOV=ECI,NCOV19 New Cases RTR,CIV
CIRCOV=ECI,NCOV19 Recovered RTR,CIV
CLACOV=ECI,NCOV19 Act Cases RTR,CHL
CLCCOV=ECI,NCOV19 Tot Cases RTR,CHL
CLCOVD=ECI,COVID19 Tot Cases WHO,CHL
CLDCOV=ECI,NCOV19 Deaths RTR,CHL
CLNCOV=ECI,NCOV19 New Cases RTR,CHL
CLRCOV=ECI,NCOV19 Recovered RTR,CHL
CMACOV=ECI,NCOV19 Act Cases RTR,CMR
CMCCOV=ECI,NCOV19 Tot Cases RTR,CMR
CMCOVD=ECI,COVID19 Tot Cases WHO,CMR
CMDCOV=ECI,NCOV19 Deaths RTR,CMR
CMNCOV=ECI,NCOV19 New Cases RTR,CMR
CMRCOV=ECI,NCOV19 Recovered RTR,CMR
CNACOV=ECI,NCOV19 Act Cases RTR,CHN
CNCCOV=ECI,NCOV19 Tot Cases RTR,CHN
CNCOVD=ECI,COVID19 Tot Cases WHO,CHN
CNDCOV=ECI,NCOV19 Deaths RTR,CHN
CNNCOV=ECI,NCOV19 New Cases RTR,CHN
CNRCOV=ECI,NCOV19 Recovered RTR,CHN
COACOV=ECI,NCOV19 Act Cases RTR,COL
COCCOV=ECI,NCOV19 Tot Cases RTR,COL
COCOVD=ECI,COVID19 Tot Cases WHO,COL
CODCOV=ECI,NCOV19 Deaths RTR,COL
CONCOV=ECI,NCOV19 New Cases RTR,COL
CORCOV=ECI,NCOV19 Recovered RTR,COL
CRACOV=ECI,NCOV19 Act Cases RTR,CRI
CRCCOV=ECI,NCOV19 Tot Cases RTR,CRI
CRCOVD=ECI,COVID19 Tot Cases WHO,CRI
CRDCOV=ECI,NCOV19 Deaths RTR,CRI
CRNCOV=ECI,NCOV19 New Cases RTR,CRI
CRRCOV=ECI,NCOV19 Recovered RTR,CRI
CUACOV=ECI,NCOV19 Act Cases RTR,CUB
CUCCOV=ECI,NCOV19 Tot Cases RTR,CUB
CUCOVD=ECI,COVID19 Tot Cases WHO,CUB
CUDCOV=ECI,NCOV19 Deaths RTR,CUB
CUNCOV=ECI,NCOV19 New Cases RTR,CUB
CURCOV=ECI,NCOV19 Recovered RTR,CUB
CVACOV=ECI,NCOV19 Act Cases RTR,   
CVCCOV=ECI,NCOV19 Tot Cases RTR,   
CVCOVD=ECI,COVID19 Tot Cases WHO,CPV
CVDCOV=ECI,NCOV19 Deaths RTR,   
CVNCOV=ECI,NCOV19 New Cases RTR,   
CVRCOV=ECI,NCOV19 Recovered RTR,   
CWACOV=ECI,NCOV19 Act Cases RTR,CUW
CWCCOV=ECI,NCOV19 Tot Cases RTR,CUW
CWCOVD=ECI,COVID19 Tot Cases WHO,CUW
CWDCOV=ECI,NCOV19 Deaths RTR,CUW
CWNCOV=ECI,NCOV19 New Cases RTR,CUW
CWRCOV=ECI,NCOV19 Recovered RTR,CUW
CYACOV=ECI,NCOV19 Act Cases RTR,CYP
CYCCOV=ECI,NCOV19 Tot Cases RTR,CYP
CYCOVD=ECI,COVID19 Tot Cases WHO,CYP
CYDCOV=ECI,NCOV19 Deaths RTR,CYP
CYNCOV=ECI,NCOV19 New Cases RTR,CYP
CYRCOV=ECI,NCOV19 Recovered RTR,CYP
CZACOV=ECI,NCOV19 Act Cases RTR,CZE
CZCCOV=ECI,NCOV19 Tot Cases RTR,CZE
CZCOVD=ECI,COVID19 Tot Cases WHO,CZE
CZDCOV=ECI,NCOV19 Deaths RTR,CZE
CZNCOV=ECI,NCOV19 New Cases RTR,CZE
CZRCOV=ECI,NCOV19 Recovered RTR,CZE
DEACOV=ECI,NCOV19 Act Cases RTR,DEU
DECCOV=ECI,NCOV19 Tot Cases RTR,DEU
DECOVD=ECI,COVID19 Tot Cases WHO,DEU
DEDCOV=ECI,NCOV19 Deaths RTR,DEU
DENCOV=ECI,NCOV19 New Cases RTR,DEU
DERCOV=ECI,NCOV19 Recovered RTR,DEU
DJACOV=ECI,NCOV19 Act Cases RTR,DJI
DJCCOV=ECI,NCOV19 Tot Cases RTR,DJI
DJCOVD=ECI,COVID19 Tot Cases WHO,DJI
DJDCOV=ECI,NCOV19 Deaths RTR,DJI
DJNCOV=ECI,NCOV19 New Cases RTR,DJI
DJRCOV=ECI,NCOV19 Recovered RTR,DJI
DKACOV=ECI,NCOV19 Act Cases RTR,DNK
DKCCOV=ECI,NCOV19 Tot Cases RTR,DNK
DKCOVD=ECI,COVID19 Tot Cases WHO,DNK
DKDCOV=ECI,NCOV19 Deaths RTR,DNK
DKNCOV=ECI,NCOV19 New Cases RTR,DNK
DKRCOV=ECI,NCOV19 Recovered RTR,DNK
DMACOV=ECI,NCOV19 Act Cases RTR,DMA
DMCCOV=ECI,NCOV19 Tot Cases RTR,DMA
DMCOVD=ECI,COVID19 Tot Cases WHO,DMA
DMDCOV=ECI,NCOV19 Deaths RTR,DMA
DMNCOV=ECI,NCOV19 New Cases RTR,DMA
DMRCOV=ECI,NCOV19 Recovered RTR,DMA
DOACOV=ECI,NCOV19 Act Cases RTR,DOM
DOCCOV=ECI,NCOV19 Tot Cases RTR,DOM
DOCOVD=ECI,COVID19 Tot Cases WHO,DOM
DODCOV=ECI,NCOV19 Deaths RTR,DOM
DONCOV=ECI,NCOV19 New Cases RTR,DOM
DORCOV=ECI,NCOV19 Recovered RTR,DOM
DZACOV=ECI,NCOV19 Act Cases RTR,DZA
DZCCOV=ECI,NCOV19 Tot Cases RTR,DZA
DZCOVD=ECI,COVID19 Tot Cases WHO,DZA
DZDCOV=ECI,NCOV19 Deaths RTR,DZA
DZNCOV=ECI,NCOV19 New Cases RTR,DZA
DZRCOV=ECI,NCOV19 Recovered RTR,DZA
ECACOV=ECI,NCOV19 Act Cases RTR,ECU
ECCCOV=ECI,NCOV19 Tot Cases RTR,ECU
ECCOVD=ECI,COVID19 Tot Cases WHO,ECU
ECDCOV=ECI,NCOV19 Deaths RTR,ECU
ECNCOV=ECI,NCOV19 New Cases RTR,ECU
ECRCOV=ECI,NCOV19 Recovered RTR,ECU
EEACOV=ECI,NCOV19 Act Cases RTR,EST
EECCOV=ECI,NCOV19 Tot Cases RTR,EST
EECOVD=ECI,COVID19 Tot Cases WHO,EST
